INFO   | jvm 1    | 2020/11/19 13:17:44 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:17:44 | 
INFO   | jvm 1    | 2020/11/19 13:17:45 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:28:12 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 13:28:13 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:28:14 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:28:15 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:28:15 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:28:15 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:28:15 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:28:15 | 
INFO   | jvm 1    | 2020/11/19 13:28:16 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:41:51 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 13:41:52 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:41:54 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:41:54 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:41:54 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:41:54 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:41:54 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:41:54 | 
INFO   | jvm 1    | 2020/11/19 13:41:55 | MyCAT Server startup successfully. see logs in logs/mycat.log
